"","X","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup","Period"
"730",730,60,1,"HaliChan",75250.5384538373,34449.4133419038,"60-06-01",2010,"Spring",21,"2006-2023"
"731",731,60,1,"GrandBanks",95636.0832744848,43538.3258188469,"60-07-30",2010,"Spring",21,"2006-2023"
"732",732,60,1,"GBTail",46296.0767643419,22163.9262096398,"60-05-30",2010,"Spring",21,"2006-2023"
"757",757,63,1,"Sable",395741.365320263,113705.118800564,"63-06-27",2011,"Spring",22,"2006-2023"
"758",758,63,1,"Gully",347037.308654793,101945.334918345,"63-07-20",2011,"Spring",22,"2006-2023"
"759",759,63,1,"BOF",157964.534028346,51033.5258728175,"63-06-10",2011,"Spring",22,"2006-2023"
"760",760,63,1,"Browns",446178.86478688,137864.043164358,"63-05-09",2011,"Spring",22,"2006-2023"
"761",761,63,1,"CapeCod",31176.2954635091,10602.7828606764,"63-05-11",2011,"Spring",22,"2006-2023"
"762",762,63,1,"Nantucket",10956.1600070436,4657.66528068951,"63-06-12",2011,"Spring",22,"2006-2023"
"763",763,63,1,"EGOM",130906.917415626,36706.006275409,"63-06-15",2011,"Spring",22,"2006-2023"
"764",764,63,1,"Georges",20888.2200719261,5904.79878510899,"63-06-09",2011,"Spring",22,"2006-2023"
"765",765,63,1,"CapeBreton",115651.347028997,40641.7897788438,"63-07-05",2011,"Spring",22,"2006-2023"
"766",766,63,1,"HaliChan",92149.5926276598,41522.4393063216,"63-05-11",2011,"Spring",22,"2006-2023"
"767",767,63,1,"GrandBanks",107143.535456354,45094.5490728295,"63-07-21",2011,"Spring",22,"2006-2023"
"768",768,63,1,"GBTail",49355.3397761904,22575.5246693685,"63-05-21",2011,"Spring",22,"2006-2023"
"793",793,66,1,"Sable",489463.50198029,136967.128647254,"66-07-16",2012,"Spring",23,"2006-2023"
"794",794,66,1,"Gully",355738.110196836,101617.327046541,"66-05-04",2012,"Spring",23,"2006-2023"
"795",795,66,1,"BOF",196167.243278159,56332.3397124039,"66-05-11",2012,"Spring",23,"2006-2023"
"796",796,66,1,"Browns",492946.67302892,107217.363827509,"66-06-03",2012,"Spring",23,"2006-2023"
"797",797,66,1,"CapeCod",55106.5234114666,15857.7549641049,"66-07-21",2012,"Spring",23,"2006-2023"
"798",798,66,1,"Nantucket",14708.3902803717,5968.0607149326,"66-05-12",2012,"Spring",23,"2006-2023"
"799",799,66,1,"EGOM",189855.610630971,44468.8804395667,"66-07-07",2012,"Spring",23,"2006-2023"
"800",800,66,1,"Georges",21526.4426763385,6259.16492898042,"66-06-29",2012,"Spring",23,"2006-2023"
"801",801,66,1,"CapeBreton",127522.922549009,44351.1371954931,"66-05-25",2012,"Spring",23,"2006-2023"
"802",802,66,1,"HaliChan",73978.4842110465,32949.0353026402,"66-07-25",2012,"Spring",23,"2006-2023"
"803",803,66,1,"GrandBanks",164868.706757645,66977.5085517856,"66-05-26",2012,"Spring",23,"2006-2023"
"804",804,66,1,"GBTail",66642.151527549,29507.385746089,"66-06-14",2012,"Spring",23,"2006-2023"
"829",829,69,1,"Sable",369789.900449427,102563.057692588,"69-05-18",2013,"Spring",24,"2006-2023"
"830",830,69,1,"Gully",377175.055116741,107208.835623228,"69-05-05",2013,"Spring",24,"2006-2023"
"831",831,69,1,"BOF",154022.898937175,47659.8872401581,"69-07-10",2013,"Spring",24,"2006-2023"
"832",832,69,1,"Browns",508003.176773013,138816.090041164,"69-07-23",2013,"Spring",24,"2006-2023"
"833",833,69,1,"CapeCod",39500.2825363873,12943.5853437425,"69-05-08",2013,"Spring",24,"2006-2023"
"834",834,69,1,"Nantucket",14676.7286687176,5780.54229646669,"69-06-17",2013,"Spring",24,"2006-2023"
"835",835,69,1,"EGOM",137962.540348007,38578.2432715462,"69-05-02",2013,"Spring",24,"2006-2023"
"836",836,69,1,"Georges",21543.0284063089,6512.96429109687,"69-05-12",2013,"Spring",24,"2006-2023"
"837",837,69,1,"CapeBreton",135613.40631564,46466.9282408158,"69-05-23",2013,"Spring",24,"2006-2023"
"838",838,69,1,"HaliChan",94719.2108181235,42404.3021075901,"69-05-05",2013,"Spring",24,"2006-2023"
"839",839,69,1,"GrandBanks",162089.650414213,67233.4350169922,"69-05-02",2013,"Spring",24,"2006-2023"
"840",840,69,1,"GBTail",60816.8454567418,27926.648114843,"69-05-22",2013,"Spring",24,"2006-2023"
"877",877,73,1,"Sable",329064.108838801,75039.6117091597,"72-07-29",2014,"Spring",25,"2006-2023"
"878",878,73,1,"Gully",497543.876508209,107713.162563805,"72-06-13",2014,"Spring",25,"2006-2023"
"879",879,73,1,"BOF",169345.134378747,44098.5315732733,"72-07-13",2014,"Spring",25,"2006-2023"
"880",880,73,1,"Browns",435897.768940719,104607.969085642,"72-05-24",2014,"Spring",25,"2006-2023"
"881",881,73,1,"CapeCod",33599.7267819646,12646.8001521885,"72-07-07",2014,"Spring",25,"2006-2023"
"882",882,73,1,"Nantucket",14401.8926295216,6288.77937164404,"72-07-08",2014,"Spring",25,"2006-2023"
"883",883,73,1,"EGOM",129051.668866211,46025.0999510463,"72-06-13",2014,"Spring",25,"2006-2023"
"884",884,73,1,"Georges",14347.6168862265,5351.84975488099,"72-05-03",2014,"Spring",25,"2006-2023"
"885",885,73,1,"CapeBreton",104549.07751007,30650.8041077671,"72-05-11",2014,"Spring",25,"2006-2023"
"886",886,73,1,"HaliChan",158161.617967146,76581.6438110037,"72-07-15",2014,"Spring",25,"2006-2023"
"887",887,73,1,"GrandBanks",189840.520780404,84120.1400447415,"72-06-26",2014,"Spring",25,"2006-2023"
"888",888,73,1,"GBTail",66069.248780338,31338.5772633391,"72-07-24",2014,"Spring",25,"2006-2023"
"901",901,75,1,"Sable",399318.679573685,104217.130261506,"75-05-24",2015,"Spring",26,"2006-2023"
"902",902,75,1,"Gully",421176.583427807,120426.62200069,"75-05-23",2015,"Spring",26,"2006-2023"
"903",903,75,1,"BOF",153693.164701492,51581.1093327499,"75-07-20",2015,"Spring",26,"2006-2023"
"904",904,75,1,"Browns",488190.269422022,146337.211128554,"75-05-19",2015,"Spring",26,"2006-2023"
"905",905,75,1,"CapeCod",36104.9071704139,11836.8990800087,"75-07-07",2015,"Spring",26,"2006-2023"
"906",906,75,1,"Nantucket",13435.3476205842,5526.33052027173,"75-06-07",2015,"Spring",26,"2006-2023"
"907",907,75,1,"EGOM",82951.7008493583,25446.2598501253,"75-05-25",2015,"Spring",26,"2006-2023"
"908",908,75,1,"Georges",22086.7823851634,6778.65896863227,"75-05-12",2015,"Spring",26,"2006-2023"
"909",909,75,1,"CapeBreton",167015.111441581,59345.2276439529,"75-05-23",2015,"Spring",26,"2006-2023"
"910",910,75,1,"HaliChan",125932.789471518,52774.4576595878,"75-06-26",2015,"Spring",26,"2006-2023"
"911",911,75,1,"GrandBanks",174335.222179819,67649.8598268995,"75-07-08",2015,"Spring",26,"2006-2023"
"912",912,75,1,"GBTail",83996.1941952185,35614.6112104989,"75-07-05",2015,"Spring",26,"2006-2023"
"949",949,79,1,"Sable",528374.071838686,135881.689223198,"78-05-10",2016,"Spring",27,"2006-2023"
"950",950,79,1,"Gully",590761.851050693,120603.274024782,"78-05-14",2016,"Spring",27,"2006-2023"
"951",951,79,1,"BOF",138433.580177075,38079.6254976341,"78-07-04",2016,"Spring",27,"2006-2023"
"952",952,79,1,"Browns",587106.238916183,117467.325796481,"78-06-08",2016,"Spring",27,"2006-2023"
"953",953,79,1,"CapeCod",32986.9289690127,12652.0756209393,"78-06-14",2016,"Spring",27,"2006-2023"
"954",954,79,1,"Nantucket",15819.7523627474,6963.89920377876,"78-05-13",2016,"Spring",27,"2006-2023"
"955",955,79,1,"EGOM",110365.862803004,41102.404535623,"78-05-22",2016,"Spring",27,"2006-2023"
"956",956,79,1,"Georges",22998.9811638721,8035.19314707581,"78-07-05",2016,"Spring",27,"2006-2023"
"957",957,79,1,"CapeBreton",99285.2792404907,30902.0049267268,"78-05-21",2016,"Spring",27,"2006-2023"
"958",958,79,1,"HaliChan",154064.830723053,72008.9411589926,"78-05-08",2016,"Spring",27,"2006-2023"
"959",959,79,1,"GrandBanks",49117.7844150354,28513.0728208514,"78-06-16",2016,"Spring",27,"2006-2023"
"960",960,79,1,"GBTail",15211.6484847028,8439.9194725476,"78-07-23",2016,"Spring",27,"2006-2023"
"973",973,81,1,"Sable",427357.484078114,130335.10242892,"81-07-08",2017,"Spring",28,"2006-2023"
"974",974,81,1,"Gully",407630.181252388,115292.773191303,"81-07-28",2017,"Spring",28,"2006-2023"
"975",975,81,1,"BOF",117363.399127433,35655.1182634748,"81-05-01",2017,"Spring",28,"2006-2023"
"976",976,81,1,"Browns",472635.944968345,131269.998494127,"81-06-11",2017,"Spring",28,"2006-2023"
"977",977,81,1,"CapeCod",28941.7182524111,10220.2029161227,"81-07-01",2017,"Spring",28,"2006-2023"
"978",978,81,1,"Nantucket",14761.3763060794,6076.62340529398,"81-05-29",2017,"Spring",28,"2006-2023"
"979",979,81,1,"EGOM",82817.1487269266,26664.5629937508,"81-07-07",2017,"Spring",28,"2006-2023"
"980",980,81,1,"Georges",29904.9822762986,8773.8832218348,"81-06-19",2017,"Spring",28,"2006-2023"
"981",981,81,1,"CapeBreton",147370.344058935,51927.0170546666,"81-06-10",2017,"Spring",28,"2006-2023"
"982",982,81,1,"HaliChan",123041.047450437,50161.1408068971,"81-05-29",2017,"Spring",28,"2006-2023"
"983",983,81,1,"GrandBanks",252451.545601452,89002.5150838501,"81-05-01",2017,"Spring",28,"2006-2023"
"984",984,81,1,"GBTail",157545.768950348,67790.5725454608,"81-06-25",2017,"Spring",28,"2006-2023"
"1021",1021,85,1,"Sable",422346.56476976,123787.189340286,"84-07-03",2018,"Spring",29,"2006-2023"
"1022",1022,85,1,"Gully",682106.475850819,212835.294159699,"84-06-10",2018,"Spring",29,"2006-2023"
"1023",1023,85,1,"BOF",101751.625808052,31332.5958395083,"84-07-08",2018,"Spring",29,"2006-2023"
"1024",1024,85,1,"Browns",618001.159282194,149348.344952614,"84-05-22",2018,"Spring",29,"2006-2023"
"1025",1025,85,1,"CapeCod",28632.0890272962,11590.0210017675,"84-05-08",2018,"Spring",29,"2006-2023"
"1026",1026,85,1,"Nantucket",15338.1875599086,7056.0484545465,"84-06-10",2018,"Spring",29,"2006-2023"
"1027",1027,85,1,"EGOM",100778.0804109,40364.4467112043,"84-06-17",2018,"Spring",29,"2006-2023"
"1028",1028,85,1,"Georges",19136.0996087539,7231.17294000371,"84-05-11",2018,"Spring",29,"2006-2023"
"1029",1029,85,1,"CapeBreton",175624.232127444,65381.3645965492,"84-05-27",2018,"Spring",29,"2006-2023"
"1030",1030,85,1,"HaliChan",112666.731073898,57313.3318554957,"84-05-31",2018,"Spring",29,"2006-2023"
"1031",1031,85,1,"GrandBanks",278020.07460107,142316.339566874,"84-06-04",2018,"Spring",29,"2006-2023"
"1032",1032,85,1,"GBTail",105485.277593003,46326.1337155657,"84-07-06",2018,"Spring",29,"2006-2023"
"1045",1045,87,1,"Sable",495661.241926198,147821.678750739,"87-06-29",2019,"Spring",30,"2006-2023"
"1046",1046,87,1,"Gully",483312.775036367,133465.031528032,"87-05-12",2019,"Spring",30,"2006-2023"
"1047",1047,87,1,"BOF",95515.8589902251,28198.5838243779,"87-06-11",2019,"Spring",30,"2006-2023"
"1048",1048,87,1,"Browns",356086.532177362,86348.6022080944,"87-06-03",2019,"Spring",30,"2006-2023"
"1049",1049,87,1,"CapeCod",27964.3237835786,10505.7740433835,"87-06-02",2019,"Spring",30,"2006-2023"
"1050",1050,87,1,"Nantucket",14697.7377627114,6355.8408957061,"87-05-07",2019,"Spring",30,"2006-2023"
"1051",1051,87,1,"EGOM",70316.0030256697,24273.7910400937,"87-06-19",2019,"Spring",30,"2006-2023"
"1052",1052,87,1,"Georges",21627.4973644007,6666.55995357883,"87-07-05",2019,"Spring",30,"2006-2023"
"1053",1053,87,1,"CapeBreton",163510.874501201,59629.7897291246,"87-07-25",2019,"Spring",30,"2006-2023"
"1054",1054,87,1,"HaliChan",116649.594479312,51729.8588049306,"87-06-20",2019,"Spring",30,"2006-2023"
"1055",1055,87,1,"GrandBanks",343217.293259408,117404.85864286,"87-07-27",2019,"Spring",30,"2006-2023"
"1056",1056,87,1,"GBTail",110632.593330756,45367.195444716,"87-06-02",2019,"Spring",30,"2006-2023"
"1093",1093,91,1,"Sable",389059.68911019,126195.21612762,"90-07-07",2020,"Spring",31,"2006-2023"
"1094",1094,91,1,"Gully",474611.005418865,153273.717507473,"90-06-04",2020,"Spring",31,"2006-2023"
"1095",1095,91,1,"BOF",139873.795256501,55501.9393135739,"90-06-25",2020,"Spring",31,"2006-2023"
"1096",1096,91,1,"Browns",378322.995006361,135220.055890882,"90-06-30",2020,"Spring",31,"2006-2023"
"1097",1097,91,1,"CapeCod",27569.0374294736,12627.3935530467,"90-06-27",2020,"Spring",31,"2006-2023"
"1098",1098,91,1,"Nantucket",14290.443123622,7179.80862437673,"90-07-23",2020,"Spring",31,"2006-2023"
"1099",1099,91,1,"EGOM",89189.3199356998,38989.6425796644,"90-07-18",2020,"Spring",31,"2006-2023"
"1100",1100,91,1,"Georges",17679.2505344419,7643.56960732087,"90-05-23",2020,"Spring",31,"2006-2023"
"1101",1101,91,1,"CapeBreton",113914.924099377,43168.9117478588,"90-07-15",2020,"Spring",31,"2006-2023"
"1102",1102,91,1,"HaliChan",209093.450086649,100360.38090634,"90-06-11",2020,"Spring",31,"2006-2023"
"1103",1103,91,1,"GrandBanks",174290.411462171,87369.7438513515,"90-06-27",2020,"Spring",31,"2006-2023"
"1104",1104,91,1,"GBTail",41077.4671478403,22028.5894821957,"90-06-04",2020,"Spring",31,"2006-2023"
"1129",1129,94,1,"Sable",330982.7164984,116143.78304105,"93-07-29",2021,"Spring",32,"2006-2023"
"1130",1130,94,1,"Gully",617397.228424,221714.739064849,"93-06-14",2021,"Spring",32,"2006-2023"
"1131",1131,94,1,"BOF",148724.21706188,62918.3675719023,"93-06-09",2021,"Spring",32,"2006-2023"
"1132",1132,94,1,"Browns",383870.267971675,147126.265049922,"93-05-21",2021,"Spring",32,"2006-2023"
"1133",1133,94,1,"CapeCod",27202.3011727055,13387.0310952999,"93-07-20",2021,"Spring",32,"2006-2023"
"1134",1134,94,1,"Nantucket",14711.7690102838,7675.02299851915,"93-05-17",2021,"Spring",32,"2006-2023"
"1135",1135,94,1,"EGOM",87955.688232744,41011.7819366779,"93-06-10",2021,"Spring",32,"2006-2023"
"1136",1136,94,1,"Georges",16510.0597715979,7675.75856210428,"93-07-20",2021,"Spring",32,"2006-2023"
"1137",1137,94,1,"CapeBreton",173297.160202071,73182.2413189297,"93-07-13",2021,"Spring",32,"2006-2023"
"1138",1138,94,1,"HaliChan",230036.23224206,121849.17889732,"93-07-05",2021,"Spring",32,"2006-2023"
"1139",1139,94,1,"GrandBanks",378920.343314811,195288.847535627,"93-06-26",2021,"Spring",32,"2006-2023"
"1140",1140,94,1,"GBTail",141423.070412004,72960.411918993,"93-07-12",2021,"Spring",32,"2006-2023"
"1165",1165,97,1,"Sable",370065.49083201,135957.338428528,"96-06-09",2022,"Spring",33,"2006-2023"
"1166",1166,97,1,"Gully",631961.985696011,238615.425232788,"96-06-06",2022,"Spring",33,"2006-2023"
"1167",1167,97,1,"BOF",147426.88119057,66151.671404673,"96-05-31",2022,"Spring",33,"2006-2023"
"1168",1168,97,1,"Browns",392392.704315878,158634.262421556,"96-07-04",2022,"Spring",33,"2006-2023"
"1169",1169,97,1,"CapeCod",27542.3763432567,14073.9162037886,"96-05-14",2022,"Spring",33,"2006-2023"
"1170",1170,97,1,"Nantucket",15382.8409169588,8352.24755153832,"96-05-19",2022,"Spring",33,"2006-2023"
"1171",1171,97,1,"EGOM",87443.4215069556,42576.1284719378,"96-06-09",2022,"Spring",33,"2006-2023"
"1172",1172,97,1,"Georges",16606.6170619483,8068.87943753527,"96-06-26",2022,"Spring",33,"2006-2023"
"1173",1173,97,1,"CapeBreton",171673.768726619,76075.3264078183,"96-07-26",2022,"Spring",33,"2006-2023"
"1174",1174,97,1,"HaliChan",222607.273868686,122140.934624999,"96-07-09",2022,"Spring",33,"2006-2023"
"1175",1175,97,1,"GrandBanks",253204.497086872,139028.76460702,"96-07-08",2022,"Spring",33,"2006-2023"
"1176",1176,97,1,"GBTail",137724.131658068,71026.4508929192,"96-05-12",2022,"Spring",33,"2006-2023"
"1189",1189,99,1,"Sable",406541.433806396,146769.074990117,"99-07-05",2023,"Spring",34,"2006-2023"
"1190",1190,99,1,"Gully",430580.586588366,157540.815870767,"99-07-17",2023,"Spring",34,"2006-2023"
"1191",1191,99,1,"BOF",159150.736657599,72120.7329183285,"99-06-26",2023,"Spring",34,"2006-2023"
"1192",1192,99,1,"Browns",464677.473706868,191255.156850373,"99-07-14",2023,"Spring",34,"2006-2023"
"1193",1193,99,1,"CapeCod",28190.3183486939,14533.5290128655,"99-07-01",2023,"Spring",34,"2006-2023"
"1194",1194,99,1,"Nantucket",16075.1888918445,8698.97927070694,"99-05-07",2023,"Spring",34,"2006-2023"
"1195",1195,99,1,"EGOM",107279.468881884,52145.5071633023,"99-05-29",2023,"Spring",34,"2006-2023"
"1196",1196,99,1,"Georges",23146.9240948325,11255.2124035011,"99-06-03",2023,"Spring",34,"2006-2023"
"1197",1197,99,1,"CapeBreton",107186.494800703,45871.6054124781,"99-06-10",2023,"Spring",34,"2006-2023"
"1198",1198,99,1,"HaliChan",228048.243703206,112129.468165782,"99-05-02",2023,"Spring",34,"2006-2023"
"1199",1199,99,1,"GrandBanks",278093.975015365,131821.368345281,"99-06-29",2023,"Spring",34,"2006-2023"
"1200",1200,99,1,"GBTail",106694.358078563,53664.3796585253,"99-06-10",2023,"Spring",34,"2006-2023"
